Title,Address,Latitude,Longitude,Found Address,Match Quality,Source
Mtn Nigeria,"Golden Plaza, Awolowo Rd, Ikoyi 101233, Lagos",6.4436845,3.4265327,"Golden Plaza, Ikoyi 101233, Lagos, Nigeria",Match,Google
Andela,"235 Ikorodu Rd, Ilupeju, Lagos",6.5537876,3.3659937,"235 Ikorodu Rd, Ilupeju, Lagos, Nigeria",Match,Google
Globacom,"307 Adeola Odeku St, Victoria Island, Lagos",6.4295022,3.4228245,"307 Adeola Odeku St, Victoria Island, Lagos, Nigeria",Match,Google
Google Nigeria,"39 Alfred Rewane Rd, Ikoyi, Lagos",6.4514485,3.429543,"39 Alfred Rewane Rd, Ikoyi, Lagos, Nigeria",Match,Google
Intel Nigeria,"6th Floor, 1 Adeola Odeku Street, Victoria Island, Lagos, Lagos, Lagos",6.4303348,3.4099659,"6th Floor, South Atlantic Petroleum Towers, 1 Adeola Odeku St, Victoria Island, Lagos, Nigeria",Match,Google
IBM Nigeria,"Churchgate St, Victoria Island, Lagos",6.4347863,3.4275207,"Churchgate St, Victoria Island, Lagos, Nigeria",Match,Google
Airtel ,"1698 A Oyin Jolayemi St, Victoria Island, Lagos",6.4296844,3.428846,"Greenwich Trust Limited, 1698 A Oyin Jolayemi St, Victoria Island, Lagos, Nigeria",Match,Google
Shell Nigeria,"Freeman House 21/22 Marina, 100221, Lagos",6.4499731,3.3929167,"Freeman House 21/22 Marina, 100221, Lagos, Nigeria",Match,Google
Chevron Nigeria,"2 Chevron Drive, Lekki Penninsula II 12825, Lekki",6.4423605,3.5310041,"2 Chevron Drive, Lekki Penninsula II 12825, Lekki, Nigeria",Match,Google
Dangote Group,"1 Alfred Rewane Rd, Ikoyi, Lagos",6.4453044,3.4270426,"Union Marble House, 1 Alfred Rewane Rd, Ikoyi, Lagos, Nigeria",Match,Google
KPMG Nigeria,"KPMG Tower, 33 Bishop Aboyade Cole St, Victoria Island 100272, Lagos",6.4340774,3.4346813,"KPMG Tower, 33 Bishop Aboyade Cole St, Victoria Island 100272, Lagos, Nigeria",Match,Google
PWC Nigeria,"5B Water Corporation Road Landmark Towers Victoria Island, Eti-Osa 101233, Lagos",6.4236945,3.4477663,"5B Water Corporation Road Landmark Towers Victoria Island, Eti-Osa 101233, Lagos, Nigeria",Match,Google
